roc_auc,accuracy,recall,precision,best_params,accuracy_train
0.6387893269613699,0.6436781609195402,0.5679012345679012,0.6426055926329525,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'rbf'}",0.8132183908045977
0.6497411389884509,0.6494252873563219,0.654320987654321,0.6513085951738717,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.8864942528735632
0.6082446808510638,0.6149425287356322,0.525,0.6128984598361287,"{'C': 100, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9080459770114943
0.6563829787234043,0.6609195402298851,0.6,0.6598629977940323,"{'C': 100, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.8649425287356322
0.6591755319148935,0.6609195402298851,0.6375,0.6612559908815008,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'rbf'}",0.8204022988505747
