roc_auc,accuracy,recall,precision,best_params,accuracy_train
0.6095181202708085,0.6149425287356322,0.5308641975308642,0.6133789722785665,"{'colsample_bytree': 0.7, 'max_depth': 5, 'subsample': 0.5}",0.7485632183908046
0.6264436479490243,0.632183908045977,0.5432098765432098,0.6309736557948292,"{'colsample_bytree': 0.5, 'max_depth': 5, 'subsample': 0.6}",0.7772988505747126
0.5832446808510638,0.5919540229885057,0.475,0.5889421727969882,"{'colsample_bytree': 0.6, 'max_depth': 5, 'subsample': 0.5}",0.8002873563218391
0.6357712765957447,0.6436781609195402,0.5375,0.6423960605712681,"{'colsample_bytree': 0.7, 'max_depth': 5, 'subsample': 0.5}",0.7787356321839081
0.632313829787234,0.6379310344827587,0.5625,0.6364414429161386,"{'colsample_bytree': 0.7, 'max_depth': 5, 'subsample': 0.6}",0.8189655172413793
